img_id,model_id,K,n,a_std,a_nostd,b_std,b_nostd,c_std,c_nostd
A1,DeepPT,6,346,0.05186545051495358,0.03716710830768307,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,DeepSpaCE,6,346,0.06675499458099546,0.02503935245864128,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,EGNv1,6,346,0.030863042996095137,0.035715905217351324,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,EGNv2,6,346,0.040011210153235485,0.0626076469679857,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,HisToGene,6,346,0.056464676409461935,0.059990042194040284,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,Hist2ST,6,346,0.012503918387655915,0.013555987227591151,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,ST-Net,6,346,0.06310603073894891,0.0259342019220813,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,TCGN,6,346,0.05978475820005558,0.08449571105941153,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,THItoGene,6,346,0.05180987986032254,0.04413466751032096,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,genecoder_i500_j500,6,346,0.0123200041570167,0.030126344009972977,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
A1,iStar,6,346,-0.03386056090991281,-0.04460181678415356,0.1417810575524318,0.14105201606475704,0.11687435273220965,0.09384031891664908
B1,DeepPT,5,295,0.22403012791020954,0.12844457853106778,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,DeepSpaCE,5,293,0.25895270189488606,0.08411431208991928,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,EGNv1,5,295,0.2436103583153844,0.24713788707512344,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,EGNv2,5,295,0.26586892005359175,0.25722722147402843,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,HisToGene,5,295,0.21860569155608506,0.22177758343530027,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,Hist2ST,5,295,0.34282519557266183,0.33497087181865715,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,ST-Net,5,295,0.2891395414122,0.2734654354426962,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,TCGN,5,295,0.17002471020613943,0.1619613568060527,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,THItoGene,5,295,0.3857632398251852,0.2722551658172532,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,genecoder_i500_j500,5,295,0.16605514172404298,0.12117260752942069,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
B1,iStar,5,295,0.19256055002742226,0.17976282830871,0.3817466381551058,0.37009159848664447,0.19746327569746733,0.2211622654889193
C1,DeepPT,4,176,0.1003070309094489,0.059407208825057414,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,DeepSpaCE,4,174,0.16248588179218162,0.12662860542705032,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,EGNv1,4,176,0.024814609889895707,0.03704968615605675,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,EGNv2,4,176,0.02139522415728197,-0.0015701986945070023,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,HisToGene,4,176,0.08564577040500822,0.08384235156235129,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,Hist2ST,4,176,0.0971956344928833,0.11291687613767451,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,ST-Net,4,176,0.12432031286933529,0.0074799503633334345,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,TCGN,4,176,0.09189387138674855,0.0903263572875805,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,THItoGene,4,176,0.10625780457470509,0.09637969523439777,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,genecoder_i500_j500,4,176,0.043908126769592666,0.042254010389727106,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
C1,iStar,4,176,0.2117847400571688,0.1954405988632544,0.21334316262351236,0.21341182736740288,0.06357566069011757,0.0622250138286284
D1,DeepPT,4,306,0.08532736651553932,0.016326365532926313,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,DeepSpaCE,4,306,0.1335297032029636,0.09048042758858688,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,EGNv1,4,306,0.03140989828399923,0.030142629226354085,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,EGNv2,4,306,0.10052213265233807,0.07699055729985235,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,HisToGene,4,306,0.2031475672773814,0.18903675232501843,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,Hist2ST,4,306,0.22631493006240383,0.24040918276368822,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,ST-Net,4,306,0.09254394992400079,0.05498638168839877,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,TCGN,4,306,0.14322116482155892,0.13586627629011327,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,THItoGene,4,306,0.13220870481604063,0.14241796789458544,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,genecoder_i500_j500,4,306,0.10204650500034826,0.1370928548790666,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
D1,iStar,4,306,0.04462164204780765,0.049092396132775405,0.28502747918896043,0.29606337549129136,0.18416047626480553,0.1925379891740013
E1,DeepPT,4,587,0.30738242422867085,0.3400790903980645,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,DeepSpaCE,4,587,0.14746125686257133,0.22522796167700304,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
